email_age,business_age,inqury_count,business_sales_k,free_email_domain,business_state,business_current_customer,business_credit,EVENT_LABEL
20.0,51.0,9.0,4800.0,1,FL,True,535,legit
37.0,46.0,10.0,3668.0,0,CO,True,1,legit
38.0,53.0,11.0,4522.0,0,IN,False,180,legit
33.0,55.0,10.0,4570.0,1,HI,False,464,legit
35.0,62.0,9.0,6483.0,0,CT,False,431,legit
33.0,53.0,12.0,4778.0,0,MS,False,895,legit
34.0,87.0,10.0,7564.0,1,DC,False,122,legit
35.0,39.0,5.0,2250.0,1,UT,False,592,legit
24.0,37.0,10.0,2919.0,0,AR,False,423,legit
27.0,79.0,8.0,6099.0,0,VA,False,620,legit
40.0,67.0,11.0,6425.0,1,NC,True,382,legit
35.0,37.0,12.0,3119.0,0,TN,False,731,legit
38.0,35.0,6.0,2252.0,1,AL,True,851,legit
30.0,71.0,5.0,3863.0,0,GA,False,43,fraud
31.0,49.0,8.0,3618.0,1,WY,False,12,legit
35.0,55.0,10.0,4255.0,0,MA,False,56,legit
30.0,55.0,9.0,6485.0,1,IN,False,898,fraud
36.0,60.0,13.0,5243.0,1,FL,False,509,legit
29.0,53.0,6.0,3254.0,0,LA,False,301,legit
14.0,78.0,10.0,7371.0,0,NM,False,737,fraud
38.0,84.0,10.0,6628.0,1,PA,False,509,legit
29.0,57.0,10.0,4866.0,1,RI,True,768,legit
28.0,46.0,9.0,3842.0,1,FL,False,590,legit
36.0,50.0,9.0,4271.0,0,MO,False,764,legit
18.0,66.0,12.0,6784.0,1,ME,True,720,fraud
38.0,49.0,10.0,4211.0,1,OK,False,849,legit
33.0,63.0,7.0,5744.0,1,WY,False,500,fraud
22.0,66.0,9.0,6020.0,1,DE,False,105,fraud
41.0,50.0,11.0,4080.0,0,GA,False,885,legit
43.0,64.0,10.0,6336.0,0,MN,False,709,legit
28.0,46.0,10.0,4585.0,0,WV,True,398,legit
34.0,52.0,8.0,4665.0,1,AZ,False,266,legit
36.0,60.0,6.0,4442.0,0,MT,True,675,fraud
27.0,67.0,12.0,5526.0,1,OR,False,910,fraud
28.0,62.0,11.0,4286.0,1,OK,False,648,legit
25.0,64.0,12.0,6255.0,0,AK,False,766,legit
41.0,72.0,12.0,7623.0,0,WV,True,564,legit
25.0,53.0,7.0,4587.0,1,MI,False,1,legit
24.0,53.0,12.0,5687.0,0,LA,False,591,legit
22.0,60.0,10.0,5710.0,0,MT,False,212,legit
38.0,59.0,12.0,5700.0,1,UT,False,579,legit
34.0,56.0,12.0,5062.0,1,CT,False,491,legit
31.0,60.0,10.0,4282.0,1,WA,False,973,legit
36.0,37.0,8.0,2563.0,1,CA,False,868,legit
37.0,41.0,11.0,3561.0,0,TX,False,710,legit
27.0,47.0,7.0,4085.0,1,MS,True,693,legit
32.0,41.0,14.0,4205.0,0,SD,False,531,legit
31.0,77.0,11.0,5407.0,1,MS,False,401,fraud
30.0,42.0,11.0,3596.0,1,FL,False,351,legit
36.0,37.0,9.0,2579.0,1,MN,False,109,legit
34.0,34.0,10.0,3178.0,1,OH,False,674,legit
33.0,73.0,8.0,5873.0,0,DE,True,854,fraud
38.0,49.0,8.0,3682.0,1,NM,False,126,legit
40.0,40.0,11.0,3113.0,0,AZ,False,695,legit
28.0,46.0,12.0,4956.0,0,LA,False,407,legit
33.0,61.0,11.0,5460.0,0,AR,False,553,legit
37.0,59.0,13.0,5689.0,0,AL,True,465,legit
33.0,34.0,9.0,2389.0,1,UT,False,929,legit
